Brand,Model,Battery_Life_Minutes,Charging_Time_Hours,Dustbin_Capacity_ml,Suction_Power_Pa,Noise_Level_dB,WiFi_Connectivity,App_Control,Voice_Control,Mapping_Technology,Obstacle_Avoidance,HEPA_Filter,Auto_Dock,Runtime_Adjustment,Carpet_Boost,Number_of_Sensors,Weight_kg,Height_cm,Smart_Scheduling,Multi_Floor_Mapping,Mop_Function,Self_Emptying,Price_USD
Eufy,Eufy S19 Ultra,81,4.9,587,5046,62,No,Yes,No,Lidar,No,Yes,Yes,No,Yes,7,2.6,8.7,Yes,Yes,No,Yes,912
Dreame,Dreame R66 Max,66,4.5,563,2237,66,No,Yes,Yes,Infrared,Yes,No,Yes,Yes,Yes,19,5.2,7.8,No,No,Yes,Yes,214
Samsung,Samsung X51 Pro,185,2.5,386,2262,69,No,No,Yes,Camera,Yes,Yes,No,No,Yes,20,4.4,10.3,Yes,Yes,No,No,269
Neato,Neato X42 Ultra,125,4.6,597,4700,68,Yes,No,No,Lidar,Yes,Yes,Yes,No,Yes,12,5.4,9.9,No,Yes,No,No,891
Eufy,Eufy V28 Max,149,5.0,523,3818,65,No,Yes,Yes,Camera,Yes,Yes,Yes,Yes,Yes,14,4.2,7.6,Yes,Yes,Yes,No,261
iRobot,iRobot X59 Pro,89,3.9,523,3987,66,No,No,No,Infrared,Yes,Yes,No,Yes,No,13,5.2,9.6,Yes,Yes,Yes,Yes,850
Xiaomi,Xiaomi V19,133,4.7,608,1568,63,Yes,No,Yes,Lidar,Yes,Yes,No,Yes,No,7,3.2,9.9,No,Yes,No,No,392
Samsung,Samsung S6 Ultra,84,5.2,551,2042,55,Yes,No,Yes,Lidar+Camera,Yes,Yes,No,Yes,Yes,13,4.9,9.1,No,Yes,Yes,Yes,1194
iRobot,iRobot R64,101,4.2,474,4437,70,Yes,Yes,No,Infrared,Yes,No,Yes,Yes,No,9,4.4,8.9,Yes,No,No,No,836
Eufy,Eufy X53 Ultra,124,4.9,407,4683,63,Yes,No,Yes,Lidar+Camera,Yes,Yes,No,No,No,20,4.4,9.3,Yes,Yes,No,No,704
iRobot,iRobot S41 Max,112,5.1,496,4210,57,Yes,Yes,No,Infrared,No,No,Yes,No,Yes,8,5.4,7.4,No,Yes,No,No,926
iRobot,iRobot V88 Ultra,179,5.5,431,2138,57,No,Yes,Yes,Camera,No,No,Yes,Yes,Yes,13,5.0,10.4,No,Yes,No,No,249
Xiaomi,Xiaomi X80 Pro,66,5.8,577,1689,59,No,Yes,No,Lidar,No,No,No,No,No,13,5.3,10.3,No,No,No,No,209
Roborock,Roborock X62 Ultra,74,5.8,663,3003,65,Yes,No,Yes,Lidar+Camera,Yes,No,Yes,No,Yes,17,3.5,7.0,No,No,Yes,No,665
Dreame,Dreame S29 Ultra,199,3.9,627,2173,55,No,Yes,No,Lidar,No,No,No,Yes,Yes,17,4.5,8.2,No,No,Yes,Yes,1044
Neato,Neato V33 Max,145,3.9,648,3474,68,No,Yes,Yes,Lidar+Camera,No,Yes,Yes,No,Yes,12,3.9,7.5,No,Yes,Yes,Yes,1119
Ecovacs,Ecovacs X52 Max,136,2.9,669,2438,69,No,Yes,Yes,Lidar+Camera,Yes,No,Yes,No,No,9,2.5,10.7,Yes,Yes,Yes,Yes,432
LG,LG V85 Max,114,5.6,355,2728,68,No,Yes,Yes,Lidar,Yes,Yes,No,No,No,17,4.6,9.0,Yes,No,Yes,Yes,248
Ecovacs,Ecovacs R53,118,2.7,459,4081,60,No,Yes,No,Infrared,Yes,Yes,No,No,No,7,3.1,9.9,Yes,Yes,No,Yes,931
Ecovacs,Ecovacs V81 Max,79,2.5,368,3684,59,No,Yes,No,Lidar,Yes,Yes,Yes,Yes,No,15,4.1,7.6,Yes,Yes,No,Yes,858
